NumNodes,NumEdges,ExecTime
3,2,0.04081811904907227
5,5,0.05076389312744141
7,11,0.04715795516967773
9,18,0.060308647155761716
11,28,0.13424243927001953
13,39,0.1911531448364258
15,53,0.36898064613342285
17,68,0.829182767868042
19,86,1.5416050910949708
21,105,6.735115051269531
23,127,21.3499804019928
